Name,Height,Weight,Reach,Stance,Birthday,Nickname
Hector Aldana,5' 11",170 lbs.,72",Orthodox,Aug 17  1988,El Charro,
Jose Aldo,5' 7",135 lbs.,70",Orthodox,Sep 09  1986,,
JJ Aldrich,5' 5",125 lbs.,67",Southpaw,Sep 29  1992,,
Jim Alers,5' 9",145 lbs.,71",Orthodox,Oct 14  1986,The Beast,
John Alessio,5' 10",155 lbs.,72",Orthodox,Jul 05  1979,The Natural,
Houston Alexander,6' 0",205 lbs.,72",Orthodox,Mar 22  1972,The Assassin,
Kenneth Alexander,5' 9",155 lbs.,--,Orthodox,Sep 25  1977,The Machine,
Marcio Alexandre Junior,6' 0",185 lbs.,75",Southpaw,May 05  1989,Lyoto,
Olaf Alfonso,6' 2",170 lbs.,--,Orthodox,Aug 06  1974,,
Pablo Alfonso,5' 8",145 lbs.,--,,May 09  1983,The Hurricane,
Levi Alford,--,--,--,,--,,
Bill Algeo,6' 0",145 lbs.,73",Switch,Jun 09  1989,Senor Perfecto,
Royce Alger,5' 10",199 lbs.,--,Orthodox,--,,
Amir Aliakbari,6' 3",250 lbs.,--,,Jun 10  1984,,
Sultan Aliev,5' 11",170 lbs.,74",Orthodox,Sep 17  1984,,
John Allan,6' 3",205 lbs.,75",Orthodox,Feb 22  1993,,
George Allen,6' 2",205 lbs.,--,Open Stance,Jan 13  1967,,
Arnold Allen,5' 8",145 lbs.,70",Southpaw,Jan 22  1994,Almighty,
Brendan Allen,6' 2",185 lbs.,75",Orthodox,Dec 28  1995,All In,
Benny Alloway,5' 11",170 lbs.,75",Orthodox,Feb 19  1981,Blanco,
Ricardo Almeida,6' 0",170 lbs.,74",Orthodox,Nov 29  1976,Big Dog,
Magno Almeida,6' 0",155 lbs.,--,,Jun 06  1985,,
Thomas Almeida,5' 7",135 lbs.,70",Southpaw,Jul 31  1991,Thominhas,
Ericka Almeida,5' 6",115 lbs.,68",Orthodox,Mar 05  1989,,
Estefani Almeida,5' 4",125 lbs.,--,Orthodox,Oct 17  1988,,
Mauricio Alonso,6' 2",170 lbs.,--,,Feb 27  1980,,
Sarah Alpar,5' 4",135 lbs.,--,Southpaw,Jun 01  1991,Too Sweet,
Rico Altamirano,5' 10",170 lbs.,--,,--,,
Mike Altman,5' 10",185 lbs.,--,Orthodox,--,,
Sean Alvarez,6' 0",235 lbs.,--,Orthodox,Jul 14  1971,,
Eddie Alvarez,5' 9",155 lbs.,69",Orthodox,Jan 11  1984,The Underground King,
Jaime Alvarez,5' 8",125 lbs.,69",Orthodox,Mar 08  1988,,
Joel Alvarez,6' 3",155 lbs.,77",Orthodox,Mar 02  1994,El Fenomeno,
Thiago Alves,5' 9",170 lbs.,70",Orthodox,Oct 03  1983,Pitbull,
Anthony Alves,--,--,--,,--,,
Amilcar Alves,6' 0",170 lbs.,--,Southpaw,Aug 08  1988,,
Warlley Alves,5' 11",170 lbs.,72",Orthodox,Jan 04  1991,,
Sam Alvey,6' 2",205 lbs.,75",Southpaw,May 06  1986,Smile'N,
Andre Amado,6' 0",154 lbs.,--,Orthodox,--,Dida,
Adlan Amagov,6' 2",170 lbs.,76",Orthodox,Oct 30  1986,Borz,
Maiara Amanajas dos Santos,5' 5",115 lbs.,--,Southpaw,Jul 11  1987,,
Chris Amarante,--,185 lbs.,--,,--,,
Jimmy Ambriz,6' 2",315 lbs.,--,Southpaw,Jan 26  1970,The Titan,
JJ Ambrose,5' 10",170 lbs.,--,Orthodox,--,,
Alen Amedovski,5' 10",185 lbs.,74",Orthodox,Apr 06  1988,,
Makwan Amirkhani,5' 10",145 lbs.,72",Southpaw,Nov 08  1988,Mr. Finland,
Bertrand Amoussou,5' 8",190 lbs.,--,Orthodox,--,,
Karl Amoussou,5' 11",185 lbs.,--,Orthodox,Nov 21  1985,The Psycho,
Eryk Anders,6' 1",185 lbs.,75",Southpaw,Apr 21  1987,Ya Boi,
Matt Andersen,6' 2",230 lbs.,--,Southpaw,May 29  1971,,
Andy Anderson,5' 6",240 lbs.,--,,Jul 16  1974,The Hammer,
Lowell Anderson,5' 6",160 lbs.,--,Orthodox,--,,
Corey Anderson,6' 3",205 lbs.,79",Orthodox,Sep 22  1989,Overtime,
Derek Anderson,6' 0",155 lbs.,--,,Feb 02  1990,Barbaric,
Megan Anderson,6' 0",145 lbs.,72",Orthodox,Feb 11  1990,,
Alex Andrade,5' 11",200 lbs.,--,Orthodox,May 14  1974,El Toro,
Jessica Andrade,5' 1",115 lbs.,62",Orthodox,Sep 25  1991,Bate Estaca,
Viscardi Andrade,5' 11",170 lbs.,75",Orthodox,Mar 08  1984,,
Jermaine Andre,5' 7",200 lbs.,--,Orthodox,--,,
Dylan Andrews,6' 1",185 lbs.,73",Switch,Nov 15  1979,The Villain,
Reese Andy,6' 0",205 lbs.,--,Orthodox,Mar 31  1973,Riptide,
Julius Anglickas,6' 3",205 lbs.,--,Orthodox,Jul 23  1991,,
Yoji Anjo,5' 11",205 lbs.,--,Orthodox,Mar 28  1967,Mr. 200%,
Magomed Ankalaev,6' 3",205 lbs.,75",Orthodox,Jun 02  1992,,
Nina Ansaroff,5' 5",115 lbs.,64",Orthodox,Dec 03  1985,The Strina,
Gadzhimurad Antigulov,5' 11",205 lbs.,70",Orthodox,Feb 09  1987,,
Adam Antolin,5' 5",125 lbs.,63",Orthodox,Feb 28  1982,Captain Chaos,
Angelo Antonio,--,205 lbs.,--,Orthodox,--,,
Zu Anyanwu,6' 1",251 lbs.,77",Orthodox,Aug 05  1981,8th Wonder,
Shinsho Anzai,5' 7",170 lbs.,70",Orthodox,Dec 01  1985,Animal,
Shinya Aoki,5' 11",154 lbs.,--,Southpaw,May 09  1983,Tobikan Judan,
Josh Appelt,5' 10",255 lbs.,73",Southpaw,Jun 19  1983,The Juggernaut,
Erik Apple,6' 0",170 lbs.,--,Orthodox,Aug 26  1977,,
Kenji Arai,5' 10",145 lbs.,--,Southpaw,Oct 05  1979,,
Romie Aram,5' 10",170 lbs.,--,Orthodox,Dec 02  1977,,
Felipe Arantes,5' 8",135 lbs.,73",Orthodox,Feb 09  1988,Sertanejo,
Igor Araujo,6' 1",170 lbs.,77",Orthodox,Dec 06  1980,,
Viviane Araujo,5' 4",125 lbs.,68",Orthodox,Nov 21  1986,Vivi,
Julio Arce,5' 7",145 lbs.,70",Southpaw,Oct 27  1989,,
Art Arciniega,5' 8",145 lbs.,--,,Oct 15  1981,King Arthur,
Tristan Arenal,--,155 lbs.,--,,--,,
Andrei Arlovski,6' 3",240 lbs.,77",Orthodox,Feb 04  1979,The Pitbull,
Joey Armstrong,--,--,--,,--,,
Austin Arnett,6' 0",145 lbs.,72",Orthodox,Oct 22  1991,Golden Boy,
Ricardo Arona,5' 11",205 lbs.,--,Orthodox,Jul 17  1978,The Brazilian Tiger,
Chalid Arrab,5' 11",205 lbs.,--,Orthodox,May 28  1975,Die Faust,
Akbarh Arreola,5' 10",155 lbs.,71",Southpaw,Jan 14  1983,El Caballero,
Matt Arroyo,5' 10",170 lbs.,72",Orthodox,Sep 01  1982,No Regard,
Antonio Arroyo,6' 3",185 lbs.,73",Orthodox,Jul 01  1989,,
Gilles Arsene,5' 9",190 lbs.,--,Southpaw,--,,
Veta Arteaga,5' 7",125 lbs.,--,,--,,
Cesar Arzamendia,5' 11",155 lbs.,71",Orthodox,Jan 31  1991,Goku,
Teddy Ash,6' 1",185 lbs.,73",Switch,Dec 27  1989,Bear,
Askar Askarov,5' 6",125 lbs.,67",Orthodox,Oct 09  1992,Bullet,
Cyril Asker,6' 0",247 lbs.,74",Orthodox,Dec 24  1985,Silverback,
Scott Askham,6' 3",185 lbs.,75",Southpaw,May 20  1988,,
Ben Askren,5' 11",170 lbs.,73",Orthodox,Jul 18  1984,Funky,
Tom Aspinall,6' 5",256 lbs.,--,Orthodox,Apr 11  1993,,
Bruno Assis,6' 2",185 lbs.,--,Orthodox,May 23  1992,Brunao,
Junior Assuncao,5' 9",145 lbs.,72",Orthodox,Jun 24  1981,,
Raphael Assuncao,5' 5",135 lbs.,66",Orthodox,Jul 19  1982,,
Bazigit Atajev,6' 1",230 lbs.,--,Orthodox,--,Volk,
Rich Attonito,5' 10",170 lbs.,72",Orthodox,Jun 16  1977,The Raging Bull,
Olivier Aubin-Mercier,5' 9",155 lbs.,70",Southpaw,Feb 23  1989,The Canadian Gangster,
Pat Audinwood,6' 0",155 lbs.,--,Orthodox,Apr 16  1986,Awesomely Awesome,
Marcus Aurelio,5' 10",155 lbs.,74",Orthodox,Aug 18  1973,Maximus,
David Avellan,5' 9",185 lbs.,--,Orthodox,--,,
Blas Avena,6' 0",170 lbs.,74",Orthodox,Jun 30  1983,The Disciple,
Levi Avera,6' 1",170 lbs.,--,,May 17  1982,,
Anthony Avila,5' 7",145 lbs.,--,,Dec 29  1988,,
Chris Avila,5' 10",145 lbs.,72",Orthodox,Jan 16  1993,,
Julia Avila,5' 7",135 lbs.,68",Orthodox,May 11  1988,Raging Panda,
Saad Awad,5' 11",155 lbs.,--,,Jun 07  1983,Assassin,
Javy Ayala,6' 1",265 lbs.,--,,Aug 20  1988,Eye Candy,
Jessin Ayari,6' 0",155 lbs.,73",Orthodox,May 31  1992,Abacus,
Abu Azaitar,5' 9",185 lbs.,76",Orthodox,Mar 10  1986,Gladiator,
Ottman Azaitar,5' 8",155 lbs.,71",Switch,Feb 20  1990,Bulldozer,
Luiz Azeredo,5' 9",154 lbs.,--,Orthodox,Jun 10  1976,,
Luciano Azevedo,6' 3",161 lbs.,--,Orthodox,Jun 25  1981,,
Hunter Azure,5' 8",145 lbs.,69",Orthodox,Mar 02  1992,,
Niklas Backstrom,6' 1",145 lbs.,74",Orthodox,Aug 22  1989,,
Seth Baczynski,6' 3",170 lbs.,74",Orthodox,Oct 26  1981,The Polish Pistola,
Ryan Bader,6' 2",205 lbs.,74",Orthodox,Jun 07  1983,Darth,
Izabela Badurek,5' 5",115 lbs.,--,Orthodox,Jul 11  1991,,
Miguel Baeza,6' 2",170 lbs.,74",Orthodox,Aug 23  1992,Caramel Thunder,
Ali Bagautinov,5' 4",125 lbs.,65",Orthodox,Jun 10  1985,Puncher,
Mehdi Baghdad,6' 1",155 lbs.,75",Orthodox,Apr 13  1985,The Sultan,
Siyar Bahadurzada,5' 11",170 lbs.,73",Orthodox,Apr 17  1984,The Great,
Shamar Bailey,5' 9",155 lbs.,75",Southpaw,Sep 22  1982,,
Jordan Bailey,5' 9",145 lbs.,--,,--,,
Scott Baker,6' 0",210 lbs.,--,,--,,
Bryan Baker,6' 3",185 lbs.,--,Orthodox,Oct 13  1985,The Beast,
Oluwale Bamgbose,5' 11",185 lbs.,78",Switch,Aug 04  1987,Holy War Angel,
Stephen Banaszak,6' 0",145 lbs.,--,,Dec 07  1990,,
Marcin Bandel,5' 10",155 lbs.,70",Orthodox,Oct 10  1989,Bomba,
Humberto Bandenay,5' 11",145 lbs.,71",Southpaw,Sep 04  1994,,
Tae Hyun Bang,5' 9",155 lbs.,71",Switch,Apr 15  1983,The Korean Cowboy,
Yohan Banks,--,--,--,,--,,
Antonio Banuelos,5' 5",135 lbs.,63",Orthodox,Sep 23  1979,,
Renan Barao,5' 6",145 lbs.,70",Orthodox,Jan 31  1987,The Baron,
Junior Barata,5' 10",170 lbs.,--,Orthodox,Jan 25  1982,,
Maycee Barber,5' 5",125 lbs.,65",Switch,May 18  1998,The Future,
Bryan Barberena,6' 0",170 lbs.,72",Southpaw,May 03  1989,Bam Bam,
Edson Barboza,5' 11",145 lbs.,75",Orthodox,Jan 21  1986,Junior,
Raoni Barcelos,5' 7",135 lbs.,67",Orthodox,May 01  1987,,
Luke Barnatt,6' 6",185 lbs.,77",Orthodox,Apr 13  1988,The Bigslow,
James Barnes,5' 8",145 lbs.,--,,--,,
Nick Barnes,5' 11",170 lbs.,--,,--,,
Josh Barnett,6' 3",250 lbs.,78",Orthodox,Nov 10  1977,The Warmaster,
Chris Barnhizer,--,--,--,,--,,
David Baron,5' 6",155 lbs.,--,Switch,Feb 15  1973,,
Phil Baroni,5' 9",170 lbs.,72",Orthodox,Apr 16  1976,The New York Bad Ass,
Dan Barrera,5' 9",170 lbs.,--,Orthodox,Dec 23  1980,The Fireman,
Carlos Barreto,6' 4",230 lbs.,--,Orthodox,--,,
Jose Barreto,--,185 lbs.,--,Southpaw,--,,
Peter Barrett,5' 10",155 lbs.,73",Southpaw,Aug 10  1986,Slippery,
Marc-Andre Barriault,6' 1",185 lbs.,74",Orthodox,Feb 18  1990,Powerbar,
David Barrios,5' 6",145 lbs.,--,,--,,
Alexandre Barros,5' 9",170 lbs.,--,Southpaw,Nov 19  1976,Baixinho,
Ricardo Barros,6' 1",205 lbs.,--,,Mar 22  1976,,
Francimar Barroso,6' 1",205 lbs.,75",Orthodox,Feb 28  1980,Bodao,
Pat Barry,5' 11",235 lbs.,74",Orthodox,Jul 07  1979,HD,
Enrique Barzola,5' 7",145 lbs.,70",Orthodox,Apr 28  1989,El Fuerte,
Stephen Bass,5' 9",145 lbs.,--,Orthodox,Nov 14  1982,Bigfish,
Sean Bassett,--,155 lbs.,--,,--,,
Ryan Bastianelli,5' 5",135 lbs.,--,,--,Relentless,
Shayna Baszler,5' 7",135 lbs.,67",Orthodox,Aug 08  1980,The Queen of Spades,
Danaa Batgerel,5' 7",135 lbs.,70",Orthodox,Jul 04  1989,Storm,
Michel Batista,6' 3",260 lbs.,--,Orthodox,Apr 20  1984,El Panda,
Mario Bautista,5' 9",135 lbs.,69",Switch,Jul 01  1993,,
Chris Beal,5' 7",125 lbs.,69",Orthodox,Aug 06  1985,Real Deal,
Rudy Bears,5' 11",170 lbs.,--,Southpaw,--,,
Salvador Becerra,5' 9",155 lbs.,--,,--,,
Ariel Beck,5' 6",125 lbs.,66",Southpaw,Sep 16  1990,Sunshine,
Jeff Bedard,5' 6",145 lbs.,--,Orthodox,Feb 06  1970,Little Popeye,
Eric Bedard,6' 2",239 lbs.,--,,Sep 11  1984,Lucky Strikes,
Johnny Bedford,5' 10",135 lbs.,71",Orthodox,Jan 06  1983,Brutal,
Chase Beebe,5' 7",135 lbs.,67",Orthodox,Mar 29  1985,,
Lyle Beerbohm,5' 10",155 lbs.,--,Southpaw,Feb 05  1979,Fancy Pants,
Mirsad Bektic,5' 8",145 lbs.,70",Orthodox,Feb 16  1991,,
Diana Belbita,5' 7",125 lbs.,68",Orthodox,Jun 26  1996,The Warrior Princess,
Alan Belcher,6' 2",185 lbs.,73",Orthodox,Apr 24  1984,The Talent,
Vitor Belfort,6' 0",185 lbs.,74",Southpaw,Apr 01  1977,The Phenom,
Danilo Belluardo,6' 0",155 lbs.,74",Southpaw,Jul 21  1994,Caterpillar,
Joey Beltran,6' 1",185 lbs.,75",Orthodox,Dec 08  1981,The Mexicutioner,
Marco Beltran,5' 8",125 lbs.,69",Orthodox,May 18  1986,Psycho,
Joseph Benavidez,5' 4",125 lbs.,65",Southpaw,Jul 31  1984,,
Mike Bencic,6' 0",215 lbs.,--,Orthodox,--,Batman,
Dave Beneteau,6' 2",250 lbs.,--,Orthodox,--,Dangerous,
Karla Benitez,5' 3",113 lbs.,--,,--,,
Gabriel Benitez,5' 8",155 lbs.,71",Southpaw,Jun 15  1988,Moggly,
Charles Bennett,5' 8",155 lbs.,--,Orthodox,Nov 23  1979,Krazy Horse,
Josh Bennett,6' 4",259 lbs.,--,Orthodox,--,,
DeAnna Bennett,5' 4",125 lbs.,68",Orthodox,Nov 18  1984,Vitamin D,
Lance Benoist,5' 11",170 lbs.,73",Southpaw,Aug 26  1988,,
Joe Benoit,5' 9",170 lbs.,--,Orthodox,Mar 12  1982,,
Ryan Benoit,5' 5",125 lbs.,68",Orthodox,Aug 25  1989,Baby Face,
Pat Benson,5' 9",155 lbs.,--,,--,,
Len Bentley,5' 9",155 lbs.,--,,Nov 30  1982,,
Steve Berger,5' 11",170 lbs.,--,Orthodox,May 20  1973,The Red Nosed Pitbull,
Kenneth Bergh,6' 2",205 lbs.,76",Orthodox,Jun 26  1989,,
Bret Bergmark,5' 9",170 lbs.,--,,Nov 24  1973,The Angry Hick,
Keith Berish,6' 0",205 lbs.,73",Orthodox,Nov 14  1985,Sha Bang Bang,
Dennis Bermudez,5' 6",155 lbs.,66",Orthodox,Dec 13  1986,The Menace,
Manny Bermudez,5' 10",145 lbs.,71",Orthodox,Jul 16  1994,The Bermudez Triangle,
Talita Bernardo,5' 4",135 lbs.,68",Orthodox,Mar 04  1987,,
Dave Berry,--,--,--,,--,,
Keith Berry,6' 1",185 lbs.,--,,Oct 25  1987,,
Dieusel Berto,5' 9",200 lbs.,--,,--,,
Edson Berto,5' 6",155 lbs.,--,Orthodox,Jul 05  1983,Little Tiger,
Allen Berube,5' 8",155 lbs.,--,Orthodox,Aug 25  1974,Monstah Lobstah,
Anton Berzin,6' 2",205 lbs.,--,Orthodox,Sep 29  1989,The Body Snatcher,
Scott Bessac,6' 4",245 lbs.,--,,--,,
Matt Bessette,5' 10",145 lbs.,70",Orthodox,Dec 28  1984,The Mangler,
Fernando Bettega,--,170 lbs.,--,,Mar 10  1980,,
Arjan Bhullar,6' 1",245 lbs.,75",Orthodox,May 13  1986,,
Magomed Bibulatov,5' 5",125 lbs.,65",Orthodox,Aug 22  1988,Chaborz,
David Bielkheden,5' 10",155 lbs.,71",Orthodox,Jun 06  1979,,
Jeremiah Billington,5' 9",205 lbs.,--,Orthodox,Nov 14  1977,,
Scott Bills,5' 10",170 lbs.,--,,--,,
Anthony Birchak,5' 8",135 lbs.,69",Orthodox,May 16  1986,El Toro,
Chris Birchler,6' 3",205 lbs.,79",Switch,Jun 05  1987,The Big Buck,
Michael Bisping,6' 1",185 lbs.,75",Orthodox,Feb 28  1979,The Count,
Amaury Bitetti,5' 9",185 lbs.,--,Orthodox,--,,
Jan Blachowicz,6' 2",205 lbs.,78",Orthodox,Feb 24  1983,,
Jason Black,5' 8",155 lbs.,--,Orthodox,Jul 15  1972,The Black Legion,
Brad Blackburn,5' 10",170 lbs.,73",Orthodox,May 25  1977,Bad Brad,
Jason Blackford,--,--,--,,--,,
Tom Blackledge,--,205 lbs.,--,Orthodox,--,,
Maximo Blanco,5' 8",145 lbs.,71",Orthodox,Oct 16  1983,Maxi,
David Blanco,5' 7",145 lbs.,--,,--,,
Curtis Blaydes,6' 4",265 lbs.,80",Orthodox,Feb 18  1991,Razor,
Arlene Blencowe,5' 5",145 lbs.,--,,Apr 11  1983,Angerfist,
Byron Bloodworth,5' 8",135 lbs.,69",Orthodox,Aug 16  1983,,
Dashawn Boatwright,6' 0",205 lbs.,--,Orthodox,Feb 29  1988,Buck  the 400-pound Silverback,
Dan Bobish,6' 2",345 lbs.,--,Southpaw,Jan 26  1970,,
Mark Bocek,5' 8",155 lbs.,75",Orthodox,Oct 24  1981,,
Kyle Bochniak,5' 7",145 lbs.,70",Orthodox,Feb 05  1987,Crash,
James Bochnovic,6' 4",205 lbs.,81",Orthodox,Feb 13  1989,,
Jeremy Boczulak,--,--,--,,--,,
Tim Boetsch,6' 0",185 lbs.,74",Orthodox,Jan 28  1981,The Barbarian,
Galore Bofando,5' 11",170 lbs.,72",Switch,May 22  1982,,
Jay Bogan,--,145 lbs.,--,,--,,
Roman Bogatov,5' 8",155 lbs.,--,,--,,
Derek Bohi,6' 4",260 lbs.,--,,--,Marshmallow,
Jerry Bohlander,5' 11",199 lbs.,--,Orthodox,Feb 12  1974,,
Kotetsu Boku,5' 9",154 lbs.,--,Orthodox,May 27  1977,,
Kyle Bolt,6' 2",185 lbs.,--,,--,,
Luc Bondole,6' 2",205 lbs.,--,,--,,
Tony Bonello,6' 2",185 lbs.,--,,--,The Gun,
Jesse Bongfeldt,6' 0",185 lbs.,--,Orthodox,Aug 28  1980,Water,
Marcos Bonilla,5' 10",145 lbs.,--,,--,Murder Marx,
Stephan Bonnar,6' 4",205 lbs.,78",Orthodox,Apr 04  1977,The American Psycho,
Rogerio Bontorin,5' 5",125 lbs.,67",Orthodox,Apr 25  1992,,
Ray Borg,5' 4",135 lbs.,63",Orthodox,Aug 04  1993,The Tazmexican Devil,
Igor Borisov,6' 0",235 lbs.,--,Orthodox,--,,
Tanner Boser,6' 2",255 lbs.,75",Orthodox,Aug 02  1991,The Bulldozer,
Steve Bosse,5' 11",205 lbs.,72",Orthodox,Jul 29  1981,The Boss,
Marcus Bossett,6' 1",215 lbs.,--,Orthodox,--,The Grasshopper,
Chris Bostick,--,--,--,,--,,
Poliana Botelho,5' 8",115 lbs.,67",Orthodox,Dec 15  1988,,
Francois Botha,6' 2",260 lbs.,--,Orthodox,Sep 28  1968,White Buffalo,
Gregory Bouchelaghem,6' 2",183 lbs.,--,Switch,--,,
Roy Boughton,6' 0",205 lbs.,--,,--,Black Dynamite,
Rich Bouphanouvong,5' 7",170 lbs.,--,,--,,
Mike Bourke,6' 0",275 lbs.,--,Orthodox,--,The Rhino,
Jess Bouscal,--,155 lbs.,--,,--,,
Tai Bowden,5' 11",230 lbs.,--,,--,,
Melton Bowen,6' 0",225 lbs.,--,Orthodox,Jul 16  1969,The Punisher,
Brian Bowles,5' 7",135 lbs.,70",Orthodox,Jun 22  1980,,
Roger Bowling,5' 9",155 lbs.,68",Orthodox,Dec 05  1982,Relentless,
Blake Bowman,6' 2",170 lbs.,--,,--,,
Ashe Bowman,5' 9",155 lbs.,--,,Nov 17  1976,The Archer,
Colley  Bradford,5' 7",145 lbs.,--,,--,,
Kyle Bradley,5' 9",155 lbs.,71",Orthodox,Aug 19  1982,,
Paul Bradley,5' 9",170 lbs.,--,Orthodox,Jun 13  1983,The Gentleman,
Sean Brady,5' 10",170 lbs.,72",Orthodox,Nov 23  1992,,
Ebenezer Fontes Braga,6' 0",199 lbs.,--,Orthodox,Apr 14  1969,Pitbull,
Ramiz Brahimaj,5' 10",170 lbs.,73",Orthodox,Nov 17  1992,,
Joe Brammer,5' 8",155 lbs.,--,Orthodox,Aug 23  1983,The South Side Strangler,
David Branch,6' 1",185 lbs.,78",Orthodox,Sep 26  1981,,
Diego Brandao,5' 7",145 lbs.,68",Orthodox,May 27  1987,DB,
Michael Bravo,--,155 lbs.,--,,--,,
Martin Bravo,5' 8",145 lbs.,71",Southpaw,Sep 21  1993,El Toro,
Tom Breese,6' 3",185 lbs.,73",Southpaw,Sep 26  1991,,
Chris Brennan,5' 8",170 lbs.,--,Orthodox,Oct 12  1971,The Westside Strangler,
Charlie Brenneman,5' 10",155 lbs.,72",Orthodox,Feb 09  1981,The Spaniard,
Robert Breslin,5' 11",155 lbs.,--,,--,The Bullet,
Mack Brewer,--,205 lbs.,--,,--,,
Marcos Brigagao,6' 3",205 lbs.,76",Southpaw,Apr 01  1996,Ironside,
Jason Brilz,5' 11",205 lbs.,71",Orthodox,Jul 07  1975,Hitman,
Marcus Brimage,5' 4",135 lbs.,71",Southpaw,Apr 06  1985,The Bama Beast,
Aaron Brink,6' 3",205 lbs.,--,Orthodox,Nov 12  1974,,
Henry Briones,5' 8",135 lbs.,69",Orthodox,Oct 22  1980,Bure,
Marcelo Brito,6' 1",170 lbs.,--,Orthodox,Nov 27  1977,Jungle Boy,
Antwain Britt,6' 1",205 lbs.,77",,May 09  1978,The Juggernaut,
Drew Brokenshire,--,--,--,,--,,
Mike Bronzoulis,6' 0",155 lbs.,--,,Jan 05  1979,The Greek,
Jonathan Brookins,6' 0",145 lbs.,73",Southpaw,Aug 13  1985,,
Will Brooks,5' 10",155 lbs.,72",Orthodox,Oct 08  1986,Ill,
CM Punk,6' 1",170 lbs.,73",Orthodox,Oct 26  1978,CM Punk,
Jarred Brooks,5' 3",125 lbs.,62",Switch,May 02  1993,The Monkey God,
Rob Broughton,6' 2",265 lbs.,74",Orthodox,Mar 03  1983,The Bear,
Lee Brousseau,6' 1",205 lbs.,--,,Oct 04  1974,Manimal,
Matt Brown,6' 0",170 lbs.,75",Orthodox,Jan 10  1981,The Immortal,
Mike Brown,5' 6",145 lbs.,70",Orthodox,Sep 08  1975,,
Dominic Brown,5' 11",190 lbs.,--,,Jun 04  1982,,
Todd Brown,5' 11",205 lbs.,--,Orthodox,Dec 13  1976,Bulldog,
Terrell Brown,--,185 lbs.,--,,Apr 13  1983,,
Chris Brown,--,170 lbs.,--,,--,,
Frederick Brown,6' 0",235 lbs.,--,,--,,
